l_elbow_pitch,l_shoulder_pitch,r_elbow_pitch,r_shoulder_pitch,waist_yaw,timestamp
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.5005005005005005
0.0,0.0,0.0,0.0,0.0,1.001001001001001
0.0,0.0,0.0,0.0,0.0,1.5015015015015014
0.0,0.0,0.0,0.0,0.0,2.002002002002002
0.0,0.0,0.0,0.0,0.0,2.5025025025025025
0.0,0.0,0.0,0.0,0.0,3.003003003003003
0.0,0.0,0.0,0.0,0.0,3.5035035035035036
0.0,0.0,0.0,0.0,0.0,4.004004004004004
0.0,0.0,0.0,0.0,0.0,4.504504504504505
0.0,0.0,0.0,0.0,0.0,5.005005005005005
0.0,0.0,0.0,0.0,0.0,5.505505505505505
0.0,0.0,0.0,0.0,0.0,6.006006006006006
0.0,0.0,0.0,0.0,0.0,6.506506506506507
0.0,0.0,0.0,0.0,0.0,7.007007007007007
0.0,0.0,0.0,0.0,0.0,7.5075075075075075
0.0,0.0,0.0,0.0,0.0,8.008008008008009
0.0,0.0,0.0,0.0,0.0,8.508508508508509
0.0,0.0,0.0,0.0,0.0,9.00900900900901
0.0,0.0,0.0,0.0,0.0,9.50950950950951
0.0,0.0,0.0,0.0,0.0,10.01001001001001
0.0,0.0,0.0,0.0,0.0,10.51051051051051
0.0,0.0,0.0,0.0,0.0,11.01101101101101
0.0,0.0,0.0,0.0,0.0,11.511511511511511
0.0,0.0,0.0,0.0,0.0,12.012012012012011
0.0,0.0,0.0,0.0,0.0,12.512512512512513
0.0,0.0,0.0,0.0,0.0,13.013013013013014
0.0,0.0,0.0,0.0,0.0,13.513513513513514
0.0,0.0,0.0,0.0,0.0,14.014014014014014
0.0,0.0,0.0,0.0,0.0,14.514514514514515
0.0,0.0,0.0,0.0,0.0,15.015015015015015
0.0,0.0,0.0,0.0,0.0,15.515515515515515
0.0,0.0,0.0,0.0,0.0,16.016016016016017
0.0,0.0,0.0,0.0,0.0,16.516516516516518
0.0,0.0,0.0,0.0,0.0,17.017017017017018
0.0,0.0,0.0,0.0,0.0,17.51751751751752
0.0,0.0,0.0,0.0,0.0,18.01801801801802
0.0,0.0,0.0,0.0,0.0,18.51851851851852
0.0,0.0,0.0,0.0,0.0,19.01901901901902
0.0,0.0,0.0,0.0,0.0,19.51951951951952
0.0,0.0,0.0,0.0,0.0,20.02002002002002
0.0,0.0,0.0,0.0,0.0,20.52052052052052
0.0,0.0,0.0,0.0,0.0,21.02102102102102
0.0,0.0,0.0,0.0,0.0,21.52152152152152
0.0,0.0,0.0,0.0,0.0,22.02202202202202
0.0,0.0,0.0,0.0,0.0,22.52252252252252
0.0,0.0,0.0,0.0,0.0,23.023023023023022
0.0,0.0,0.0,0.0,0.0,23.523523523523522
0.0,0.0,0.0,0.0,0.0,24.024024024024023
0.0,0.0,0.0,0.0,0.0,24.524524524524523
0.0,0.0,0.0,0.0,0.0,25.025025025025027
0.0,0.0,0.0,0.0,0.0,25.525525525525527
0.0,0.0,0.0,0.0,0.0,26.026026026026027
0.0,0.0,0.0,0.0,0.0,26.526526526526528
0.0,0.0,0.0,0.0,0.0,27.027027027027028
0.0,0.0,0.0,0.0,0.0,27.52752752752753
0.0,0.0,0.0,0.0,0.0,28.02802802802803
0.0,0.0,0.0,0.0,0.0,28.52852852852853
0.0,0.0,0.0,0.0,0.0,29.02902902902903
0.0,0.0,0.0,0.0,0.0,29.52952952952953
0.0,0.0,0.0,0.0,0.0,30.03003003003003
0.0,0.0,0.0,0.0,0.0,30.53053053053053
0.0,0.0,0.0,0.0,0.0,31.03103103103103
0.0,0.0,0.0,0.0,0.0,31.53153153153153
